datetime,area
2009-08-20,12910.45
2009-08-21,12887.45
2009-08-22,12863.3
2009-08-23,12841.45
2009-08-24,12823.05
2009-08-25,12806.95
2009-08-26,12787.4
2009-08-27,12769.0
2009-08-28,12750.6
2009-08-29,12732.2
2009-08-30,12716.1
2009-08-31,12696.2
2009-09-01,12681.95
2009-09-02,12664.85
2009-09-03,12645.85
2009-09-04,12631.6
2009-09-05,12621.15
2009-09-06,12612.6
2009-09-07,12603.1
2009-09-08,12589.8
2009-09-09,12573.65
2009-09-10,12562.25
2009-09-11,12555.6
2009-09-12,12546.1
2009-09-13,12540.4
2009-09-14,12538.5
2009-09-15,12531.85
2009-09-16,12526.15
2009-09-17,12522.35
2009-09-18,12518.55
2009-09-19,12518.55
2009-09-20,12516.65
2009-09-21,12510.0
2009-09-22,12504.3
2009-09-23,12496.7
2009-09-24,12488.15
2009-09-25,12481.5
2009-09-26,12477.7
2009-09-27,12473.9
2009-09-28,12467.25
2009-09-29,12456.8
2009-09-30,12443.5
2009-10-01,12431.15
2009-10-02,12422.6
2009-10-03,12415.0
2009-10-04,12403.6
2009-10-05,12396.0
2009-10-06,12389.35
2009-10-07,12378.9
2009-10-08,12369.4
2009-10-09,12361.8
2009-10-10,12352.3
2009-10-11,12341.85
2009-10-12,12331.4
2009-10-13,12322.85
2009-10-14,12315.25
2009-10-15,12304.8
2009-10-16,12293.4
2009-10-17,12282.95
2009-10-18,12274.4
2009-10-19,12262.05
2009-10-20,12248.75
2009-10-21,12246.85
2009-10-22,12244.0
2009-10-23,12242.1
2009-10-24,12236.4
2009-10-25,12231.65
2009-10-26,12227.85
2009-10-27,12221.2
2009-10-28,12217.4
2009-10-29,12211.7
2009-10-30,12207.9
2009-10-31,12202.2
2009-11-01,12198.4
2009-11-02,12195.55
2009-11-03,12191.75
2009-11-04,12188.9
2009-11-05,12185.1
2009-11-06,12180.35
2009-11-07,12176.55
2009-11-08,12171.8
2009-11-09,12167.05
2009-11-10,12163.25
2009-11-11,12158.5
2009-11-12,12151.85
2009-11-13,12148.05
2009-11-14,12145.2
2009-11-15,12142.35
